url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664625/SRR8664625_1.fastq.gz,data/duration/raw/4B-03-03-16_R1_001.fastq.gz,forward reads for 4B-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664521/SRR8664521_1.fastq.gz,data/duration/raw/4B-03-04-16_R1_001.fastq.gz,forward reads for 4B-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664522/SRR8664522_1.fastq.gz,data/duration/raw/4B-03-08-16_R1_001.fastq.gz,forward reads for 4B-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664523/SRR8664523_1.fastq.gz,data/duration/raw/4B-03-10-16_R1_001.fastq.gz,forward reads for 4B-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664524/SRR8664524_1.fastq.gz,data/duration/raw/4B-03-12-16_R1_001.fastq.gz,forward reads for 4B-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664525/SRR8664525_1.fastq.gz,data/duration/raw/4B-03-14-16_R1_001.fastq.gz,forward reads for 4B-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664526/SRR8664526_1.fastq.gz,data/duration/raw/4B-04-05-16_R1_001.fastq.gz,forward reads for 4B-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664527/SRR8664527_1.fastq.gz,data/duration/raw/4C-03-03-16_R1_001.fastq.gz,forward reads for 4C-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664528/SRR8664528_1.fastq.gz,data/duration/raw/4C-03-04-16_R1_001.fastq.gz,forward reads for 4C-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664529/SRR8664529_1.fastq.gz,data/duration/raw/4C-03-08-16_R1_001.fastq.gz,forward reads for 4C-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664530/SRR8664530_1.fastq.gz,data/duration/raw/4C-03-10-16_R1_001.fastq.gz,forward reads for 4C-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664570/SRR8664570_1.fastq.gz,data/duration/raw/4C-03-12-16_R1_001.fastq.gz,forward reads for 4C-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664569/SRR8664569_1.fastq.gz,data/duration/raw/4C-03-14-16_R1_001.fastq.gz,forward reads for 4C-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664568/SRR8664568_1.fastq.gz,data/duration/raw/4C-04-05-16_R1_001.fastq.gz,forward reads for 4C-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664567/SRR8664567_1.fastq.gz,data/duration/raw/4D-03-03-16_R1_001.fastq.gz,forward reads for 4D-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664566/SRR8664566_1.fastq.gz,data/duration/raw/4D-03-04-16_R1_001.fastq.gz,forward reads for 4D-03-04-16
